Type,Class,Month,Year,Price
Carabao,Class A,January,2014,90
Carabao,Class A,February,2014,70
Carabao,Class A,March,2014,70
Carabao,Class A,April,2014,70
Carabao,Class A,May,2014,70
Carabao,Class A,June,2014,80
Carabao,Class A,July,2014,100
Carabao,Class A,August,2014,100
Carabao,Class A,September,2014,100
Carabao,Class A,October,2014,120
Carabao,Class A,November,2014,100
Carabao,Class A,December,2014,100
Carabao,Class A,January,2015,100
Carabao,Class A,February,2015,100
Carabao,Class A,March,2015,100
Carabao,Class A,April,2015,80
Carabao,Class A,May,2015,70
Carabao,Class A,June,2015,50
Carabao,Class A,July,2015,70
Carabao,Class A,August,2015,120
Carabao,Class A,September,2015,120
Carabao,Class A,October,2015,150
Carabao,Class A,November,2015,120
Carabao,Class A,December,2015,120
Carabao,Class A,January,2016,180
Carabao,Class A,February,2016,120
Carabao,Class A,March,2016,120
Carabao,Class A,April,2016,120
Carabao,Class A,May,2016,90
Carabao,Class A,June,2016,90
Carabao,Class A,July,2016,100
Carabao,Class A,August,2016,150
Carabao,Class A,September,2016,180
Carabao,Class A,October,2016,200
Carabao,Class A,November,2016,200
Carabao,Class A,December,2016,180
Carabao,Class A,January,2017,180
Carabao,Class A,February,2017,100
Carabao,Class A,March,2017,160
Carabao,Class A,April,2017,120
Carabao,Class A,May,2017,135
Carabao,Class A,June,2017,90
Carabao,Class A,July,2017,120
Carabao,Class A,August,2017,120
Carabao,Class A,September,2017,150
Carabao,Class A,October,2017,140
Carabao,Class A,November,2017,180
Carabao,Class A,December,2017,180
Carabao,Class A,January,2018,200
Carabao,Class A,February,2018,200
Carabao,Class A,March,2018,200
Carabao,Class A,April,2018,120
Carabao,Class A,May,2018,120
Carabao,Class A,June,2018,110
Carabao,Class A,July,2018,110
Carabao,Class A,August,2018,110
Carabao,Class A,September,2018,110
Carabao,Class A,October,2018,160
Carabao,Class A,November,2018,180
Carabao,Class A,December,2018,160
Carabao,Class A,January,2019,160
Carabao,Class A,February,2019,140
Carabao,Class A,March,2019,130
Carabao,Class A,April,2019,140
Carabao,Class A,May,2019,120
Carabao,Class A,June,2019,100
Carabao,Class A,July,2019,240
Carabao,Class A,August,2019,240
Carabao,Class A,September,2019,250
Carabao,Class A,October,2019,200
Carabao,Class A,November,2019,200
Carabao,Class A,December,2019,160
Carabao,Class A,January,2020,160
Carabao,Class A,February,2020,150
Carabao,Class A,March,2020,160
Carabao,Class A,April,2020,160
Carabao,Class A,May,2020,160
Carabao,Class A,June,2020,120
Carabao,Class A,July,2020,140
Carabao,Class A,August,2020,155
Carabao,Class A,September,2020,180
Carabao,Class A,October,2020,180
Carabao,Class A,November,2020,150
Carabao,Class A,December,2020,200
Carabao,Class A,January,2021,300
Carabao,Class A,February,2021,200
Carabao,Class A,March,2021,170
Carabao,Class A,April,2021,155
Carabao,Class A,May,2021,160
Carabao,Class A,June,2021,140
Carabao,Class A,July,2021,160
Carabao,Class A,August,2021,180
Carabao,Class A,September,2021,180
Carabao,Class A,October,2021,180
Carabao,Class A,November,2021,200
Carabao,Class A,December,2021,180
Carabao,Class A,January,2022,180
Carabao,Class A,February,2022,180
Carabao,Class A,March,2022,150
Carabao,Class A,April,2022,140
